chaos_id,canonical_smiles,molecular_formula
189,Brc1cc(Br)cc(-c2cccc3ccccc23)c1,C16H10Br2
190,Brc1cc(Br)cc(-c2ccccc2)c1,C12H8Br2
191,Brc1cc(Br)cc(Br)c1,C6H3Br3
192,Brc1cc(Br)nc(Br)c1,C5H2Br3N
193,Brc1cc2c3ccccc3ccc2c2ccccc12,C18H11Br
194,Brc1cc2ccc3cccc4ccc(c1)c2c34,C16H9Br
195,Brc1cc2cccc3ccc4cccc1c4c32,C16H9Br
196,Brc1cc2ccccc2c2ccccc12,C14H9Br
197,Brc1cc2ccccc2cc1Br,C10H6Br2
198,Brc1cc2ccccc2nn1,C8H5BrN2
199,Brc1cc2cccnc2c2ncccc12,C12H7BrN2
200,Brc1cc2nn[nH]c2cc1Br,C6H3Br2N3
201,Brc1ccc(-c2cc3ccccc3[nH]2)cc1,C14H10BrN
202,Brc1ccc(-c2ccc(-c3ccccc3)cc2)cc1,C18H13Br
203,Brc1ccc(-c2cccc(Br)c2)cc1,C12H8Br2
204,Brc1ccc(-c2ccccc2)c(Br)c1,C12H8Br2
205,Brc1ccc(-c2ccccc2)cc1,C12H9Br
206,Brc1ccc(-c2ccccc2)cc1Br,C12H8Br2
207,Brc1ccc(-c2ccccc2Br)cc1,C12H8Br2
208,Brc1ccc(-n2ccnc2)cc1,C9H7BrN2
209,Brc1ccc(/C=C/c2ccccc2)cc1,C14H11Br
210,Brc1ccc(/C=N/c2nc3ccccc3s2)cc1,C14H9BrN2S
211,Brc1ccc(/N=C/c2ccccc2)cc1,C13H10BrN
212,Brc1ccc(/N=N/Nc2ccc(Br)cc2)cc1,C12H9Br2N3
213,Brc1ccc(/N=N/Nc2ccccc2)cc1,C12H10BrN3
214,Brc1ccc(Br)c(-c2ccccc2)c1,C12H8Br2
215,Brc1ccc(Br)c(Br)c1,C6H3Br3
216,Brc1ccc(Br)c(Br)n1,C5H2Br3N
217,Brc1ccc(Br)c2[nH]nnc12,C6H3Br2N3
218,Brc1ccc(Br)c2ccccc12,C10H6Br2
219,Brc1ccc(Br)cc1,C6H4Br2
220,Brc1ccc(Br)nc1,C5H3Br2N
221,Brc1ccc(Br)o1,C4H2Br2O
222,Brc1ccc(Br)s1,C4H2Br2S
223,Brc1ccc(C=C2c3ccccc3Cc3ccccc32)cc1,C21H15Br
224,Brc1ccc(CI)cc1,C7H6BrI
225,Brc1ccc(Cc2ccc(Br)cc2)cc1,C13H10Br2
226,Brc1ccc(Cc2ccccc2)cc1,C13H11Br
227,Brc1ccc(I)cc1,C6H4BrI
